Ticker,Price,Probability,Predicted_Return,Signal,Signal_Type,Paper_Status,Real_Order,Quantity,Position_Value
SKBNK.IS,6.239999771118164,0.40688361383001737,0.0014208245577659996,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,6.239999771118164
DCTTR.IS,6.079999923706055,0.4842611385607112,0.0072441089855859574,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,6.079999923706055
BIGCH.IS,5.300000190734863,0.4983507554954881,0.008660870264046749,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,5.300000190734863
DITAS.IS,20.600000381469727,0.42191732579655017,-0.00835456018889389,SELL,AI_CURRENT,PAPER_ONLY,NO,1,20.600000381469727
SKYLP.IS,203.8000030517578,0.48932360164644434,0.006005749250884983,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,203.8000030517578
ODINE.IS,1468.0,0.3902809107616232,0.25,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,1468.0
BALSU.IS,7.820000171661377,0.4634918333173938,-0.0045502140537399625,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,7.820000171661377
ONCSM.IS,196.39999389648438,0.4681152224405005,0.0019790361237573754,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,196.39999389648438
SURGY.IS,30.260000228881836,0.47365128688729885,0.006460293709209511,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,30.260000228881836
OTTO.IS,134.1999969482422,0.5111436883050272,0.007855212134404514,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,134.1999969482422
TATEN.IS,7.619999885559082,0.5177063927813711,0.009479535667003009,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,7.619999885559082
PEKGY.IS,10.5,0.3899019788249363,-0.02881284502907471,SELL,AI_CURRENT,PAPER_ONLY,NO,1,10.5
EMKEL.IS,12.899999618530273,0.5392935265178825,0.01088719434016366,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,12.899999618530273
EGEPO.IS,13.9399995803833,0.49486886784362694,-0.013859642726163416,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,13.9399995803833
BTCIM.IS,3.819999933242798,0.508936254460933,0.00929702191658242,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,3.819999933242798
ENSRI.IS,4.630000114440918,0.4638656313315106,0.0034821230062763555,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,4.630000114440918
BURVA.IS,649.5,0.48589524766914405,0.00553478486218785,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,649.5
BARMA.IS,8.6899995803833,0.42137840887549627,0.0015529272051582003,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,8.6899995803833
MOGAN.IS,13.960000038146973,0.4692339468602481,0.004404379031226148,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,13.960000038146973
MEGMT.IS,47.31999969482422,0.4833819744638286,0.006037624908132101,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,47.31999969482422
LIDER.IS,23.399999618530273,0.4324051862763738,-0.019785314719660413,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,23.399999618530273
FZLGY.IS,7.989999771118164,0.5214172554186648,0.012000748587203748,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,7.989999771118164
KRTEK.IS,4.989999771118164,0.4933120207693693,0.005811037173794305,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,4.989999771118164
KRDMB.IS,99.6500015258789,0.44722955659603714,-0.03776457912505805,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,99.6500015258789
KONTR.IS,3.3299999237060547,0.48853632773779754,0.006330097001224054,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,3.3299999237060547
EUPWR.IS,69.4000015258789,0.3849695991353962,-0.022431230496436173,SELL,AI_CURRENT,PAPER_ONLY,NO,1,69.4000015258789
GESAN.IS,60.5,0.29968597572248346,-0.09853091419141102,SELL,AI_CURRENT,PAPER_ONLY,NO,1,60.5
FORMT.IS,1.4700000286102295,0.5037636525929539,0.009361448503843415,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,1.4700000286102295
KONKA.IS,9.180000305175781,0.530584593871576,0.011235997048867578,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,9.180000305175781
KTLEV.IS,42.68000030517578,0.34784030951590705,-0.03155301155732055,SELL,AI_CURRENT,PAPER_ONLY,NO,1,42.68000030517578
TMPOL.IS,365.0,0.44231213598872027,-0.0014532552654113896,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,365.0
TEZOL.IS,8.75,0.49978178658754735,0.009521024644584973,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,8.75
IZFAS.IS,50.95000076293945,0.44675839890042673,0.002360394483818498,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,50.95000076293945
IZENR.IS,6.889999866485596,0.5091060515325398,0.010036020511136643,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,6.889999866485596
GOKNR.IS,16.709999084472656,0.5123636990845007,0.009149118426625313,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,16.709999084472656
GUNDG.IS,1131.0,0.4184953406815869,-0.05035988791373376,SELL,AI_CURRENT,PAPER_ONLY,NO,1,1131.0
KBORU.IS,17.81999969482422,0.49954217003327805,0.008523462877958654,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,17.81999969482422
IZMDC.IS,10.0,0.5041060916021667,0.008894039521632958,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,10.0
IDGYO.IS,2.799999952316284,0.48065879119988303,0.00761441046049064,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,2.799999952316284
GRNYO.IS,11.1899995803833,0.516558492078734,0.009982530099694785,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,11.1899995803833
KAPLM.IS,356.25,0.47979567367303,0.00817510736318767,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,356.25
INFO.IS,4.829999923706055,0.49075217073812183,0.00046148028234048585,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,4.829999923706055
ICUGS.IS,4.03000020980835,0.4707202992358762,0.005648654680684653,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,4.03000020980835
KATMR.IS,1.840000033378601,0.5012531935012183,0.008981746012861056,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,1.840000033378601
ALVES.IS,1.25,0.47003373773071816,0.007316817842877377,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,1.25
HEDEF.IS,75.8499984741211,0.32358992095915756,-0.04703495567098948,SELL,AI_CURRENT,PAPER_ONLY,NO,1,75.8499984741211
A1CAP.IS,7.269999980926514,0.507763474669466,0.008197039586476544,HOLD,AI_CURRENT,PAPER_ONLY,NO,1,7.269999980926514
